City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Charagua,BO,2020-04-18 05-47:38,-19.8,-63.22,56.39,58,11,3.47
193,Kruisfontein,ZA,2020-04-18 05-47:39,-34.0,24.73,60.4,77,79,6.71
194,Kingaroy,AU,2020-04-18 05-47:39,-26.53,151.83,72.0,49,90,2.24
195,Pisco,PE,2020-04-18 05-47:40,-13.7,-76.22,69.01,77,18,3.36
196,Esil,KZ,2020-04-18 05-47:40,51.96,66.4,58.51,39,13,15.12
197,Caravelas,BR,2020-04-18 05-47:41,-17.71,-39.25,77.2,87,25,16.15
198,Marevo,RU,2020-04-18 05-47:41,57.31,32.08,33.93,91,100,9.78
199,Mao,ES,2020-04-18 05-47:42,39.89,4.27,60.8,93,75,9.17
200,Lambarene,GA,2020-04-18 05-47:42,-0.7,10.24,75.02,93,99,2.1
201,Coihaique,CL,2020-04-18 05-47:43,-45.58,-72.07,50.0,87,20,9.17
202,Naze,JP,2020-04-18 05-47:43,28.37,129.48,75.2,60,75,5.82
203,Kotido,UG,2020-04-18 05-47:44,2.98,34.13,71.8,58,100,7.52
204,Prince Rupert,CA,2020-04-18 05-45:27,54.32,-130.32,44.6,93,1,2.24
205,Liverpool,GB,2020-04-18 05-45:02,53.41,-2.98,44.01,86,99,6.93
206,Tazovskiy,RU,2020-04-18 05-47:45,67.47,78.7,35.94,98,100,19.64
207,Norman Wells,CA,2020-04-18 05-47:46,65.28,-126.83,35.6,69,75,3.36
208,Beloha,MG,2020-04-18 05-47:47,-25.17,45.05,80.04,50,0,3.98
209,Praia,CV,2020-04-18 05-47:47,14.92,-23.51,69.8,68,40,13.87
210,Poso,ID,2020-04-18 05-47:48,-1.4,120.75,85.96,68,79,3.47
211,La Peca,PE,2020-04-18 05-47:48,-5.61,-78.44,66.04,67,99,2.08
212,Ndioum,SN,2020-04-18 05-47:48,16.51,-14.65,69.58,55,73,16.8
213,Gorom-Gorom,BF,2020-04-18 05-47:49,14.44,-0.24,79.36,15,11,6.4
214,Pevek,RU,2020-04-18 05-47:49,69.7,170.31,5.27,93,17,8.55
215,Pendleton,US,2020-04-18 05-47:50,45.67,-118.79,51.8,40,1,8.05
216,Majene,ID,2020-04-18 05-47:50,-3.54,118.97,87.39,66,67,5.82
217,Rosetown,CA,2020-04-18 05-47:51,51.55,-108.0,39.0,87,100,8.99
218,San Patricio,MX,2020-04-18 05-47:51,19.22,-104.7,75.11,60,80,6.76
219,Popondetta,PG,2020-04-18 05-47:52,-8.75,148.25,85.1,67,73,6.04
220,Akyab,MM,2020-04-18 05-47:52,20.15,92.9,87.64,55,7,7.99
221,Aklavik,CA,2020-04-18 05-47:53,68.22,-135.01,35.6,74,75,6.93
